Participant ID,1_UCLA_qn0,1_UCLA_qn1,1_UCLA_qn2,1_UCLA_qn3,1_UCLA_qn4,1_UCLA_qn5,1_UCLA_qn6,1_UCLA_qn7,1_UCLA_qn8,1_UCLA_qn9,2_UCLA_qn10,2_UCLA_qn11,2_UCLA_qn12,2_UCLA_qn13,2_UCLA_qn14,2_UCLA_qn15,2_UCLA_qn16,2_UCLA_qn17,2_UCLA_qn18,2_UCLA_qn19,2_UCLA_qn20
250,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(4) Always,(4) Always,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely
320,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(4) Always,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(1) Never,(3) Sometimes,(1) Never,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(4) Always,(4) Always
182,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(4) Always,(1) Never,(4) Always,(1) Never,(4) Always,(4) Always,(2) Rarely,(1) Never,(1) Never,(1) Never,(4) Always,(4) Always,(3) Sometimes,(2) Rarely,(4) Always,(4) Always
265,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(1) Never,(4) Always,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes
10,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,,(2) Rarely,(3) Sometimes,(3) Sometimes,(1) Never,(3) Sometimes,(3) Sometimes,(3) Sometimes
312,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(4) Always,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes
308,(3) Sometimes,(1) Never,(1) Never,(1) Never,(1) Never,(3) Sometimes,(1) Never,(4) Always,(2) Rarely,(3) Sometimes,(1) Never,(1) Never,(1) Never,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(4) Always
87,(4) Always,(3) Sometimes,(2) Rarely,(1) Never,(4) Always,(4) Always,(2) Rarely,(4) Always,(2) Rarely,(3) Sometimes,(4) Always,(2) Rarely,(2) Rarely,(3) Sometimes,(2) Rarely,(2) Rarely,(4) Always,(2) Rarely,(2) Rarely,(4) Always,(4) Always
50,(4) Always,(1) Never,(1) Never,(2) Rarely,(2) Rarely,(4) Always,(1) Never,(4) Always,(4) Always,(3) Sometimes,(4) Always,(1) Never,(1) Never,(1) Never,(1) Never,(4) Always,(4) Always,(1) Never,(1) Never,(4) Always,(4) Always
108,(3) Sometimes,(3) Sometimes,(4) Always,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(2) Rarely
288,(3) Sometimes,(3) Sometimes,(3) Sometimes,(4) Always,(2) Rarely,(2) Rarely,(4) Always,(4) Always,(4) Always,(2) Rarely,(2) Rarely,(4) Always,(4) Always,(4) Always,(3) Sometimes,(2) Rarely,(4) Always,(3) Sometimes,(4) Always,(2) Rarely,(2) Rarely
153,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(4) Always,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(4) Always,(4) Always,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes
12,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(1) Never,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(4) Always,(4) Always
168,(2) Rarely,(3) Sometimes,(4) Always,(3) Sometimes,(2) Rarely,(2) Rarely,(4) Always,(4) Always,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(4) Always,(4) Always,(3) Sometimes,(2) Rarely,(1) Never,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely
139,(2) Rarely,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(2) Rarely,(3) Sometimes,(4) Always,(3) Sometimes,(1) Never,(2) Rarely,(4) Always,(2) Rarely,(3) Sometimes,(4) Always,(2) Rarely,(3) Sometimes,(4) Always,(4) Always,(3) Sometimes,(3) Sometimes
35,(3) Sometimes,(2) Rarely,(1) Never,(2) Rarely,(4) Always,(3) Sometimes,(1) Never,(4) Always,(2) Rarely,(3) Sometimes,(4) Always,(2) Rarely,(2) Rarely,(1) Never,(1) Never,(4) Always,(4) Always,(3) Sometimes,(2) Rarely,(4) Always,(4) Always
88,(2) Rarely,(4) Always,(3) Sometimes,(4) Always,(2) Rarely,(2) Rarely,(4) Always,(4) Always,(4) Always,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(4) Always,(4) Always,(2) Rarely,(1) Never,(4) Always,(4) Always,(2) Rarely,(2) Rarely
199,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(2) Rarely,(4) Always,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes
147,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(4) Always,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely
66,(3) Sometimes,(4) Always,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(4) Always,(4) Always,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(4) Always,(4) Always,(2) Rarely,(2) Rarely,(3) Sometimes,(4) Always,(2) Rarely,(2) Rarely
256,(3) Sometimes,(1) Never,(1) Never,(1) Never,(4) Always,(3) Sometimes,(1) Never,(4) Always,(3) Sometimes,(3) Sometimes,(4) Always,(2) Rarely,(1) Never,(2) Rarely,(2) Rarely,(4) Always,(3) Sometimes,(2) Rarely,(3) Sometimes,(4) Always,(4) Always
4,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(1) Never,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(1) Never,(3) Sometimes,(3) Sometimes,(3) Sometimes
243,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(1) Never,(2) Rarely,(4) Always,(4) Always,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes
160,(4) Always,(1) Never,(1) Never,(1) Never,(4) Always,(4) Always,(1) Never,(4) Always,(2) Rarely,(4) Always,(4) Always,(1) Never,(1) Never,(1) Never,(1) Never,(4) Always,(4) Always,(1) Never,(1) Never,(4) Always,(4) Always
186,(1) Never,(4) Always,(3) Sometimes,(3) Sometimes,(1) Never,(1) Never,(4) Always,(4) Always,(4) Always,(2) Rarely,(2) Rarely,(4) Always,(3) Sometimes,(4) Always,(4) Always,(2) Rarely,(1) Never,(4) Always,(4) Always,(2) Rarely,(2) Rarely
318,(1) Never,(4) Always,(4) Always,(4) Always,(1) Never,(1) Never,(4) Always,(4) Always,(4) Always,(2) Rarely,(1) Never,(4) Always,(4) Always,(4) Always,(4) Always,(1) Never,(1) Never,(3) Sometimes,(4) Always,(1) Never,(1) Never
245,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely
161,(3) Sometimes,(2) Rarely,(1) Never,(2) Rarely,(4) Always,(3) Sometimes,(2) Rarely,(4) Always,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(1) Never,(4) Always,(4) Always
54,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(1) Never,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(1) Never,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes
227,(2) Rarely,(3) Sometimes,(4) Always,(4) Always,(1) Never,(2) Rarely,(4) Always,(4) Always,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(4) Always,(4) Always,(4) Always,(2) Rarely,(2) Rarely,(4) Always,(4) Always,(2) Rarely,(2) Rarely
216,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely
70,(3) Sometimes,(2) Rarely,(1) Never,(2) Rarely,(3) Sometimes,(4) Always,(3) Sometimes,(4) Always,(2) Rarely,(4) Always,(4) Always,(2) Rarely,(2) Rarely,(3) Sometimes,(1) Never,(4) Always,(3) Sometimes,(1) Never,(2) Rarely,(4) Always,(4) Always
330,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(1) Never,(3) Sometimes,(1) Never,(4) Always,(2) Rarely,(1) Never,(3) Sometimes,(3) Sometimes,(1) Never,(1) Never,(4) Always,(4) Always,(3) Sometimes,(4) Always,(2) Rarely,(3) Sometimes,(3) Sometimes
156,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(1) Never,(4) Always,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(4) Always,(4) Always
158,(3) Sometimes,(1) Never,(3) Sometimes,(2) Rarely,(3) Sometimes,(1) Never,(1) Never,(4) Always,(2) Rarely,(2) Rarely,(1) Never,(2) Rarely,(1) Never,(1) Never,(1) Never,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes
14,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(4) Always,(3) Sometimes,(1) Never,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(2) Rarely
305,(4) Always,(3) Sometimes,(1) Never,(1) Never,(3) Sometimes,(3) Sometimes,(1) Never,(4) Always,(3) Sometimes,(2) Rarely,(4) Always,(2) Rarely,(2) Rarely,(2) Rarely,(1) Never,(4) Always,(4) Always,(3) Sometimes,(2) Rarely,(4) Always,(4) Always
150,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(4) Always,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes
7,(2) Rarely,(3) Sometimes,(2) Rarely,(2) Rarely,(1) Never,(1) Never,(3) Sometimes,(4) Always,(4) Always,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(1) Never,(3) Sometimes,(2) Rarely,(3) Sometimes
16,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(4) Always,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(4) Always,(3) Sometimes,(2) Rarely,(2) Rarely
74,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes
45,(3) Sometimes,(1) Never,(1) Never,(2) Rarely,(3) Sometimes,(4) Always,(1) Never,(4) Always,(2) Rarely,(4) Always,(4) Always,(2) Rarely,(2) Rarely,(1) Never,(1) Never,(4) Always,(3) Sometimes,(2) Rarely,(1) Never,(4) Always,(4) Always
348,(1) Never,(3) Sometimes,(3) Sometimes,(4) Always,(1) Never,(1) Never,(4) Always,(4) Always,(4) Always,(1) Never,(1) Never,(2) Rarely,(4) Always,(4) Always,(4) Always,(1) Never,(1) Never,(1) Never,(3) Sometimes,(2) Rarely,(2) Rarely
134,(2) Rarely,(2) Rarely,(1) Never,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(4) Always,(2) Rarely,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(4) Always,(4) Always
29,(3) Sometimes,(1) Never,(1) Never,(2) Rarely,(3) Sometimes,(3) Sometimes,(1) Never,(4) Always,(2) Rarely,(3) Sometimes,(3) Sometimes,(1) Never,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes
242,(4) Always,(1) Never,(1) Never,(1) Never,(3) Sometimes,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(4) Always,(2) Rarely,(4) Always,(4) Always,(2) Rarely,(2) Rarely,(4) Always,(4) Always
260,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes
221,(3) Sometimes,(1) Never,(1) Never,(1) Never,(3) Sometimes,(3) Sometimes,(1) Never,(4) Always,(3) Sometimes,(4) Always,(3) Sometimes,(1) Never,(1) Never,(1) Never,(1) Never,(4) Always,(4) Always,(1) Never,(1) Never,(4) Always,(4) Always
249,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(1) Never,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes
164,(3) Sometimes,(2) Rarely,(2) Rarely,(1) Never,(3) Sometimes,(3) Sometimes,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(2) Rarely,(4) Always,(4) Always
209,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(4) Always,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes
84,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(4) Always,(2) Rarely,(3) Sometimes,(3) Sometimes,(1) Never,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes
47,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(4) Always,(4) Always,(1) Never,(4) Always,(2) Rarely,(3) Sometimes,(3) Sometimes,(1) Never,(1) Never,(2) Rarely,(1) Never,(3) Sometimes,(4) Always,(3) Sometimes,(2) Rarely,(3) Sometimes,(4) Always
293,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(4) Always,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes
91,(3) Sometimes,(1) Never,(1) Never,(1) Never,(4) Always,(3) Sometimes,(1) Never,(4) Always,(3) Sometimes,(4) Always,(3) Sometimes,(1) Never,(1) Never,(1) Never,(1) Never,(4) Always,(3) Sometimes,(1) Never,(2) Rarely,(4) Always,(4) Always
11,(3) Sometimes,(3) Sometimes,(2) Rarely,(4) Always,(2) Rarely,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(2) Rarely,(3) Sometimes,(4) Always,(2) Rarely,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(4) Always,(2) Rarely,(4) Always,(3) Sometimes
327,(3) Sometimes,(1) Never,(1) Never,(1) Never,(3) Sometimes,(3) Sometimes,(1) Never,(4) Always,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(1) Never,(1) Never,(1) Never,(4) Always,(4) Always,(1) Never,(1) Never,(4) Always,(4) Always
246,(3) Sometimes,(1) Never,(1) Never,(1) Never,(4) Always,(4) Always,(1) Never,(4) Always,(3) Sometimes,(4) Always,(4) Always,(1) Never,(1) Never,(1) Never,(1) Never,(4) Always,(4) Always,(3) Sometimes,(2) Rarely,(4) Always,(4) Always
235,(3) Sometimes,(1) Never,(3) Sometimes,(3) Sometimes,(1) Never,(3) Sometimes,(3) Sometimes,(4) Always,(2) Rarely,(3) Sometimes,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(2) Rarely,(4) Always,(3) Sometimes,(1) Never,(2) Rarely
253,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(4) Always,(2) Rarely,(2) Rarely,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes
234,(2) Rarely,(4) Always,(4) Always,(4) Always,(1) Never,(2) Rarely,(4) Always,(4) Always,(4) Always,(1) Never,(1) Never,(4) Always,(1) Never,(4) Always,(4) Always,(1) Never,(1) Never,(4) Always,(4) Always,(1) Never,(1) Never
165,(4) Always,(3) Sometimes,(1) Never,(3) Sometimes,(2) Rarely,(3) Sometimes,(1) Never,(4) Always,(3) Sometimes,(4) Always,(4) Always,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(2) Rarely,(4) Always,(2) Rarely,(2) Rarely,(4) Always,(4) Always
195,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(3) Sometimes,(4) Always,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely
286,(3) Sometimes,(2) Rarely,(1) Never,(1) Never,(2) Rarely,(3) Sometimes,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes
289,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(4) Always,(2) Rarely,(4) Always,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes
272,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(4) Always,(2) Rarely,(3) Sometimes,(3) Sometimes,(1) Never,(1) Never,(1) Never,(1) Never,(4) Always,(3) Sometimes,(2) Rarely,(2) Rarely,(4) Always,(4) Always
152,(3) Sometimes,(1) Never,(1) Never,(1) Never,(4) Always,(3) Sometimes,(1) Never,(4) Always,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(4) Always,(4) Always,(2) Rarely,(2) Rarely,(4) Always,(4) Always
46,(3) Sometimes,(2) Rarely,(1) Never,(2) Rarely,(2) Rarely,(3) Sometimes,(1) Never,(4) Always,(2) Rarely,(3) Sometimes,(4) Always,(2) Rarely,(2) Rarely,(1) Never,(2) Rarely,(4) Always,(4) Always,(3) Sometimes,(3) Sometimes,(4) Always,(4) Always
68,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(4) Always,(2) Rarely,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(4) Always,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely
241,(4) Always,(1) Never,(1) Never,(1) Never,(4) Always,(4) Always,(1) Never,(4) Always,(1) Never,(4) Always,(4) Always,(1) Never,(1) Never,(1) Never,(1) Never,(4) Always,(4) Always,(1) Never,(1) Never,(4) Always,(4) Always
32,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(4) Always,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(1) Never,(2) Rarely,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(1) Never,(2) Rarely,(3) Sometimes
184,(3) Sometimes,(4) Always,(3) Sometimes,(4) Always,(1) Never,(2) Rarely,(4) Always,(4) Always,(4) Always,(2) Rarely,(1) Never,(4) Always,(4) Always,(4) Always,(4) Always,(2) Rarely,(2) Rarely,(3) Sometimes,(4) Always,(1) Never,(1) Never
