PID,ParticipantID,1_UCLA_qn0,1_UCLA_qn1,1_UCLA_qn2,1_UCLA_qn3,1_UCLA_qn4,1_UCLA_qn5,1_UCLA_qn6,1_UCLA_qn7,1_UCLA_qn8,1_UCLA_qn9,2_UCLA_qn10,2_UCLA_qn11,2_UCLA_qn12,2_UCLA_qn13,2_UCLA_qn14,2_UCLA_qn15,2_UCLA_qn16,2_UCLA_qn17,2_UCLA_qn18,2_UCLA_qn19,2_UCLA_qn20
652408b110c19343a504c45a,30022,Sometimes,Always,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Always,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely
60ddfe929fff846f04cd2c95,30024,Always,Rarely,Rarely,Sometimes,Always,Sometimes,Rarely,Always,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Never,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes
660abfd1b4f90c39abdfb887,30025,Always,Sometimes,Never,Rarely,Always,,Always,Always,Rarely,Always,Always,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes
65584073cce140ca87d895ff,30026,Always,Never,Never,Never,Always,Always,Never,Always,Never,Never,Always,Never,Never,Never,Never,Always,Always,Never,Never,Always,Always
62a96f8f6ab7e0c3ce90095f,30027,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Always,Rarely,Sometimes,,Rarely,Never,Never,Never,Always,Sometimes,Sometimes,Never,Always,Always
60fcf15d6f86ffc5de817be3,30028,Rarely,Never,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,Never,Rarely,Always,Sometimes,Always,Sometimes,Rarely,Sometimes,Always,Always,Sometimes,Sometimes
64527892acde0fbd392a41d6,30029,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Always,Sometimes,Always,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes
5e2f121d76887c011b5ec6c4,30030,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes
5c73d2817ed3a70001fc2929,30031,Always,Sometimes,Sometimes,Always,Rarely,Sometimes,Sometimes,Always,Always,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
5a04869ff2e3460001edad2e,30032,Sometimes,Rarely,Rarely,Rarely,Always,Sometimes,Rarely,Always,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Always,Always
663db82261bdd51955c4f5a3,30033,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Always,Sometimes,Always,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Always,Rarely,Sometimes,Always,Sometimes
63653d622710a591f401a6be,30034,Always,Never,Never,Never,Always,Always,Never,Always,Never,Always,Always,Rarely,Rarely,Rarely,Rarely,Always,Always,Rarely,Rarely,Always,Always
5f280d1533b5cf085a06e2ad,30035,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Always,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Always,Always
6641c7c4528c12eede302d14,30036,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
5cba676b16ab74001672d70f,30037,Always,Never,Never,Rarely,Always,Always,Never,Always,Rarely,Always,Always,Rarely,Never,Rarely,Never,Always,Always,Sometimes,Sometimes,Always,Always
66191b9dfe3a622cea867178,30038,Always,Never,Sometimes,Sometimes,Sometimes,Always,Rarely,Always,Rarely,Always,Always,Rarely,Sometimes,Never,Sometimes,Always,Always,Rarely,Sometimes,Always,Always
65845f67f9ed8c08c8e58949,30039,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Always,Sometimes,Sometimes,Rarely,Always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely
66339e69096405b36663468b,30040,Sometimes,Never,Never,Rarely,Always,Sometimes,Never,Always,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes
5f280cc370354e08a8f2895c,30041,Always,Never,Never,Never,Always,Always,Never,Always,Never,Always,Always,Never,Never,Never,Never,Always,Always,Never,Never,Always,Always
63d9f41910c61f3eb102079f,30042,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Always,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Always,Rarely,Sometimes,Always,Rarely,Sometimes,Sometimes
662d8e525d53b0503c77995d,30043,Sometimes,Sometimes,Rarely,Sometimes,,Sometimes,Rarely,Always,Rarely,Always,Always,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes
66083f910aeb017b4edee86f,30044,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Always,Sometimes,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes
6536d136cb5b206227cf43f1,30045,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes
6000cefee380e61fa9bc5ae4,30046,Always,Sometimes,Never,Sometimes,Sometimes,Always,Never,Always,Rarely,Sometimes,Always,Sometimes,Never,Never,Sometimes,Sometimes,Always,Sometimes,Rarely,Always,Always
