,ParticipantID,1_PANAS_qn0,1_PANAS_qn1,1_PANAS_qn2,1_PANAS_qn3,1_PANAS_qn4,1_PANAS_qn5,1_PANAS_qn6,1_PANAS_qn7,1_PANAS_qn8,1_PANAS_qn9,2_PANAS_qn10,2_PANAS_qn11,2_PANAS_qn12,2_PANAS_qn13,2_PANAS_qn14,2_PANAS_qn15,2_PANAS_qn16,2_PANAS_qn17,2_PANAS_qn18,2_PANAS_qn19,2_PANAS_qn20,Positive,Negative,Positive_nanMean,Negative_nanMean,Positive_numMissResp,Negative_numMissResp,Positive_reweigh,Negative_reweigh,Total_numMissResp
13,30016,3,0,2,4.0,1,3,1,0,1,3,2.0,1,2,0,2.0,1,1,2,2,2,0,22.0,7,2.2,0.7,0,0,22.0,7.0,0
14,30017,0,4,0,4.0,4,0,4,4,2,0,0.0,3,0,4,0.0,3,0,0,2,0,3,0.0,33,0.0,3.3,0,0,0.0,33.0,0
15,30018,1,0,1,4.0,0,1,0,0,0,1,2.0,2,2,0,1.0,0,2,3,0,2,0,16.0,2,1.6,0.2,0,0,16.0,2.0,0
16,30019,3,1,2,4.0,1,2,0,0,1,2,1.0,1,2,1,2.0,0,1,2,2,1,0,18.0,7,1.8,0.7,0,0,18.0,7.0,0
17,30020,2,2,1,4.0,1,1,1,0,0,1,1.0,2,3,1,1.0,3,1,2,2,2,0,15.0,12,1.5,1.2,0,0,15.0,12.0,0
18,30022,3,0,2,4.0,0,2,0,0,0,2,1.0,0,4,0,1.0,0,2,4,0,3,0,24.0,0,2.4,0.0,0,0,24.0,0.0,0
19,30024,2,1,2,4.0,0,2,0,1,0,2,2.0,0,2,0,,0,2,2,0,2,1,18.0,3,2.0,0.3,1,0,20.0,3.0,1
22,30027,2,0,3,4.0,0,2,0,0,0,4,2.0,0,1,0,3.0,0,4,3,0,3,0,27.0,0,2.7,0.0,0,0,27.0,0.0,0
23,30028,1,2,0,4.0,1,0,0,2,1,1,0.0,2,1,0,0.0,3,1,2,0,0,2,6.0,13,0.6,1.3,0,0,6.0,13.0,0
24,30029,3,0,3,4.0,0,3,0,0,0,3,2.0,0,3,0,3.0,0,3,3,0,2,0,28.0,0,2.8,0.0,0,0,28.0,0.0,0
25,30030,2,1,2,4.0,1,2,2,1,1,2,1.0,2,1,1,2.0,1,2,1,1,2,1,17.0,12,1.7,1.2,0,0,17.0,12.0,0
26,30031,3,3,0,4.0,2,0,1,1,1,1,1.0,3,2,1,2.0,3,2,1,3,0,1,12.0,19,1.2,1.9,0,0,12.0,19.0,0
27,30032,2,1,0,4.0,1,2,1,1,0,2,1.0,1,2,1,2.0,1,2,3,1,2,1,18.0,9,1.8,0.9,0,0,18.0,9.0,0
28,30033,2,0,3,4.0,0,4,0,0,0,3,1.0,0,1,0,3.0,0,4,2,0,3,0,26.0,0,2.6,0.0,0,0,26.0,0.0,0
29,30034,2,1,3,4.0,0,1,0,0,0,3,3.0,2,3,0,3.0,2,3,3,1,3,1,27.0,7,2.7,0.7,0,0,27.0,7.0,0
30,30035,3,0,3,4.0,1,3,1,0,0,3,2.0,2,3,1,3.0,1,3,3,1,3,0,29.0,7,2.9,0.7,0,0,29.0,7.0,0
31,30036,3,2,3,4.0,2,2,2,3,0,2,,1,1,1,2.0,3,3,3,3,3,3,22.0,20,2.4444444444444446,2.0,1,0,24.444444444444443,20.0,1
32,30037,4,1,4,4.0,1,4,0,1,0,4,4.0,2,4,0,4.0,1,4,4,0,3,0,39.0,6,3.9,0.6,0,0,39.0,6.0,0
34,30039,2,3,2,4.0,3,1,2,3,1,2,1.0,3,2,3,1.0,3,2,1,2,1,2,15.0,25,1.5,2.5,0,0,15.0,25.0,0
36,30041,4,0,3,4.0,0,4,0,0,0,4,3.0,1,4,0,3.0,0,4,4,0,4,0,37.0,1,3.7,0.1,0,0,37.0,1.0,0
37,30042,2,1,0,4.0,0,2,0,0,0,0,0.0,2,3,1,0.0,2,2,3,1,3,1,15.0,8,1.5,0.8,0,0,15.0,8.0,0
39,30044,4,1,3,4.0,0,4,0,0,0,3,4.0,1,4,0,4.0,0,4,4,0,3,0,37.0,2,3.7,0.2,0,0,37.0,2.0,0
40,30045,2,0,3,4.0,0,3,0,0,0,1,0.0,0,3,0,3.0,2,2,3,3,4,2,24.0,7,2.4,0.7,0,0,24.0,7.0,0
41,30046,2,1,1,4.0,1,0,1,0,1,1,0.0,1,2,0,1.0,1,1,3,0,0,0,11.0,6,1.1,0.6,0,0,11.0,6.0,0
