ParticipantID,1_ffi_qn0,1_ffi_qn1,1_ffi_qn2,1_ffi_qn3,1_ffi_qn4,1_ffi_qn5,1_ffi_qn6,1_ffi_qn7,1_ffi_qn8,1_ffi_qn9,1_ffi_qn10,2_ffi_qn11,2_ffi_qn12,2_ffi_qn13,2_ffi_qn14,2_ffi_qn15,2_ffi_qn16,2_ffi_qn17,2_ffi_qn18,2_ffi_qn19,2_ffi_qn20,3_ffi_qn21,3_ffi_qn22,3_ffi_qn23,3_ffi_qn24,3_ffi_qn25,3_ffi_qn26,3_ffi_qn27,3_ffi_qn28,3_ffi_qn29,3_ffi_qn30,4_ffi_qn31,4_ffi_qn32,4_ffi_qn33,4_ffi_qn34,4_ffi_qn35,4_ffi_qn36,4_ffi_qn37,4_ffi_qn38,4_ffi_qn39,4_ffi_qn40,5_ffi_qn41,5_ffi_qn42,5_ffi_qn43,5_ffi_qn44,5_ffi_qn45,5_ffi_qn46,5_ffi_qn47,5_ffi_qn48,5_ffi_qn49,5_ffi_qn50,6_ffi_qn51,6_ffi_qn52,6_ffi_qn53,6_ffi_qn54,6_ffi_qn55,6_ffi_qn56,6_ffi_qn57,6_ffi_qn58,6_ffi_qn59,6_ffi_qn60,neuroticism,extraversion,openness,agreeableness,conscientiousness,total,neuroticism_nanMean,extraversion_nanMean,openness_nanMean,agreeableness_nanMean,conscientiousness_nanMean,neuroticism_numMissResp,extraversion_numMissResp,openness_numMissResp,agreeableness_numMissResp,conscientiousness_numMissResp,neuroticism_reweigh,extraversion_reweigh,openness_reweigh,agreeableness_reweigh,conscientiousness_reweigh,Total_numMissResp,total_reweigh
30016,5,5,4,5,3,3,5,2,2,1.0,4,3,4,3,4.0,2,4,5,4,4,4,4,5,4,2,2,4,4,3,1,4,4,4.0,3,4,2,5,4,5,3,3,4,2.0,3,2,2,4,3,4,5,1,2,2,4,3,3,2,3,4,2,4,38,44.0,47.0,42,32.0,203.0,3.1666666666666665,3.6666666666666665,3.9166666666666665,3.5,2.6666666666666665,0,0,0,0,0,38.0,44.0,47.0,42.0,32.0,0,203.0
30017,5,1,3,4,3,5,1,2,2,2.0,5,2,1,2,2.0,5,1,4,3,4,4,1,1,1,2,5,1,4,1,2,5,1,2.0,1,3,5,1,3,2,3,3,5,1.0,1,2,2,5,1,1,4,3,3,1,4,5,2,5,1,2,3,4,57,13.0,28.0,33,32.0,163.0,4.75,1.0833333333333333,2.3333333333333335,2.75,2.6666666666666665,0,0,0,0,0,57.0,13.0,28.0,33.0,32.0,0,163.0
30018,3,2,2,5,4,3,2,2,4,4.0,3,4,4,4,4.0,3,2,4,3,3,2,3,4,3,2,3,2,3,2,3,3,2,3.0,4,4,2,2,2,4,3,3,2,3.0,3,3,2,3,2,5,4,3,4,2,4,2,4,2,3,4,1,4,33,29.0,40.0,40,40.0,182.0,2.75,2.4166666666666665,3.3333333333333335,3.3333333333333335,3.3333333333333335,0,0,0,0,0,33.0,29.0,40.0,40.0,40.0,0,182.0
30019,4,2,2,4,3,5,4,2,4,5.0,2,3,5,2,4.0,2,2,4,2,4,4,2,2,2,2,4,1,2,2,4,2,3,4.0,4,4,4,2,1,2,4,3,2,2.0,2,2,4,4,4,4,4,4,2,2,5,4,4,2,1,3,2,4,37,28.0,36.0,34,46.0,181.0,3.0833333333333335,2.3333333333333335,3.0,2.8333333333333335,3.8333333333333335,0,0,0,0,0,37.0,28.0,36.0,34.0,46.0,0,181.0
30020,5,2,5,5,4,3,4,2,4,5.0,4,3,4,5,5.0,5,3,5,5,5,5,3,3,4,4,4,2,4,5,4,5,3,4.0,5,4,2,2,5,5,5,3,3,1.0,3,3,4,5,2,5,5,5,3,3,5,1,5,4,2,5,1,4,48,30.0,50.0,47,54.0,229.0,4.0,2.5,4.166666666666667,3.9166666666666665,4.5,0,0,0,0,0,48.0,30.0,50.0,47.0,54.0,0,229.0
30022,2,2,2,4,3,2,4,2,4,4.0,2,4,4,4,4.0,3,3,4,4,4,1,3,3,4,4,2,4,3,4,4,2,3,4.0,4,4,2,3,4,4,3,3,2,4.0,3,3,4,2,3,3,4,4,2,3,4,3,3,2,4,3,2,3,24,40.0,39.0,43,44.0,190.0,2.0,3.3333333333333335,3.25,3.5833333333333335,3.6666666666666665,0,0,0,0,0,24.0,40.0,39.0,43.0,44.0,0,190.0
30024,4,4,4,5,3,3,4,1,5,4.0,2,5,4,4,3.0,3,4,4,4,4,2,4,5,3,4,1,3,5,4,4,2,4,3.0,5,5,1,5,2,5,5,3,2,5.0,5,3,5,2,4,5,5,4,1,3,4,3,5,1,3,4,2,5,24,48.0,46.0,49,51.0,218.0,2.0,4.0,3.8333333333333335,4.083333333333333,4.25,0,0,0,0,0,24.0,48.0,46.0,49.0,51.0,0,218.0
30027,2,3,4,5,5,1,4,3,5,5.0,1,4,5,5,5.0,5,4,4,4,5,1,4,4,5,5,1,3,4,4,5,2,4,4.0,3,5,1,4,3,4,4,3,1,5.0,4,4,5,2,4,5,5,5,1,4,5,3,5,2,3,5,1,4,20,46.0,50.0,48,58.0,222.0,1.6666666666666667,3.8333333333333335,4.166666666666667,4.0,4.833333333333333,0,0,0,0,0,20.0,46.0,50.0,48.0,58.0,0,222.0
30028,5,2,3,5,4,2,3,2,4,4.0,5,3,5,4,3.0,4,2,2,3,5,2,2,1,3,3,4,2,1,3,3,5,1,4.0,4,4,3,2,5,4,4,3,4,2.0,2,3,4,4,3,4,5,4,4,2,4,1,4,4,1,4,2,4,46,25.0,37.0,39,46.0,193.0,3.8333333333333335,2.0833333333333335,3.0833333333333335,3.25,3.8333333333333335,0,0,0,0,0,46.0,25.0,37.0,39.0,46.0,0,193.0
30029,2,2,2,5,5,1,4,2,5,5.0,1,4,3,5,4.0,2,4,3,4,4,1,3,2,4,4,1,2,1,4,4,1,2,4.0,4,4,1,5,3,5,5,3,2,5.0,3,5,5,1,2,3,5,4,1,4,4,3,4,2,3,3,1,5,16,40.0,33.0,47,53.0,189.0,1.3333333333333333,3.3333333333333335,2.75,3.9166666666666665,4.416666666666667,0,0,0,0,0,16.0,40.0,33.0,47.0,53.0,0,189.0
30030,4,2,2,4,4,3,3,2,3,3.0,3,3,5,2,3.0,3,3,3,3,5,3,4,2,1,4,4,2,4,2,4,4,3,3.0,4,4,3,3,3,2,4,3,3,2.0,3,2,3,4,3,4,4,4,3,4,5,5,4,4,3,4,3,4,41,35.0,40.0,37,46.0,199.0,3.4166666666666665,2.9166666666666665,3.3333333333333335,3.0833333333333335,3.8333333333333335,0,0,0,0,0,41.0,35.0,40.0,37.0,46.0,0,199.0
30031,5,1,5,4,5,4,2,1,2,4.0,5,1,2,3,1.0,5,2,5,5,4,5,1,5,2,1,5,2,2,2,1,5,1,5.0,2,4,4,1,5,5,4,3,5,1.0,3,4,2,4,1,5,5,1,5,1,5,1,1,4,1,3,4,4,56,15.0,46.0,39,32.0,188.0,4.666666666666667,1.25,3.8333333333333335,3.25,2.6666666666666665,0,0,0,0,0,56.0,15.0,46.0,39.0,32.0,0,188.0
30032,5,3,5,4,4,4,5,1,5,2.0,4,5,5,4,2.0,4,3,5,5,4,4,3,4,4,1,4,2,1,4,1,4,2,5.0,4,4,1,3,4,4,4,3,2,4.0,5,2,2,4,1,5,4,2,4,2,4,1,2,4,2,5,1,2,44,35.0,49.0,39,30.0,197.0,3.6666666666666665,2.9166666666666665,4.083333333333333,3.25,2.5,0,0,0,0,0,44.0,35.0,49.0,39.0,30.0,0,197.0
30033,1,3,1,4,4,1,5,2,5,5.0,3,5,4,2,3.0,3,4,2,4,5,1,4,3,2,3,2,3,4,2,4,2,3,3.0,4,5,1,5,3,5,4,3,5,5.0,3,4,4,4,3,3,5,5,1,5,4,3,5,2,4,3,1,5,26,49.0,35.0,43,52.0,205.0,2.1666666666666665,4.083333333333333,2.9166666666666665,3.5833333333333335,4.333333333333333,0,0,0,0,0,26.0,49.0,35.0,43.0,52.0,0,205.0
30034,4,4,4,4,4,4,5,2,5,4.0,4,5,4,4,,2,5,4,4,4,2,4,2,3,4,2,4,5,3,2,4,4,3.0,4,3,2,4,5,5,4,3,2,2.0,2,4,4,2,4,4,4,4,2,3,4,2,4,1,4,3,4,3,31,48.0,42.0,48,40.0,209.0,2.5833333333333335,4.0,3.5,4.0,3.6363636363636362,0,0,0,0,1,31.0,48.0,42.0,48.0,43.63636363636363,1,212.63636363636363
30035,5,4,5,4,3,4,4,2,5,2.0,3,4,4,5,4.0,4,4,4,4,4,3,4,5,4,2,3,4,5,4,1,4,4,5.0,4,3,1,4,5,5,2,3,3,4.0,5,4,2,4,3,4,5,3,2,5,4,2,2,3,3,4,4,4,39,47.0,52.0,51,32.0,221.0,3.25,3.9166666666666665,4.333333333333333,4.25,2.6666666666666665,0,0,0,0,0,39.0,47.0,52.0,51.0,32.0,0,221.0
30036,5,4,4,5,4,4,2,3,4,4.0,4,2,4,4,4.0,4,4,3,4,4,3,3,3,2,4,3,4,4,2,4,4,4,2.0,4,5,3,4,4,4,4,3,1,3.0,3,3,4,3,3,4,5,4,5,4,5,4,5,4,3,4,2,5,43,40.0,43.0,45,51.0,222.0,3.5833333333333335,3.3333333333333335,3.5833333333333335,3.75,4.25,0,0,0,0,0,43.0,40.0,43.0,45.0,51.0,0,222.0
30037,4,3,1,5,4,1,3,2,4,5.0,1,5,5,5,2.0,3,1,5,3,5,2,4,5,2,5,2,3,5,3,4,4,4,5.0,5,5,2,5,4,5,5,3,1,5.0,5,4,5,4,5,4,5,5,4,5,5,5,4,2,3,5,1,5,30,46.0,51.0,49,54.0,230.0,2.5,3.8333333333333335,4.25,4.083333333333333,4.5,0,0,0,0,0,30.0,46.0,51.0,49.0,54.0,0,230.0
30039,4,2,3,5,2,4,3,2,5,2.0,4,4,3,5,2.0,5,4,4,5,4,4,3,4,5,3,5,2,3,2,3,5,2,4.0,2,4,3,1,4,5,2,3,5,2.0,3,5,2,5,3,3,5,3,4,2,4,1,2,5,3,4,1,2,53,31.0,41.0,47,31.0,203.0,4.416666666666667,2.5833333333333335,3.4166666666666665,3.9166666666666665,2.5833333333333335,0,0,0,0,0,53.0,31.0,41.0,47.0,31.0,0,203.0
30041,4,4,3,5,5,1,5,2,5,5.0,1,5,4,5,5.0,1,5,3,4,5,1,4,4,5,5,1,5,5,4,5,1,5,4.0,5,5,2,5,3,5,5,3,1,5.0,3,4,4,1,4,4,5,5,1,5,5,3,5,1,3,3,1,5,16,55.0,43.0,52,59.0,225.0,1.3333333333333333,4.583333333333333,3.5833333333333335,4.333333333333333,4.916666666666667,0,0,0,0,0,16.0,55.0,43.0,52.0,59.0,0,225.0
30042,5,1,4,4,4,3,1,1,5,4.0,3,2,3,4,4.0,4,1,4,3,4,3,2,2,2,4,4,2,1,2,3,5,1,4.0,4,3,3,1,3,4,3,3,4,1.0,2,4,3,4,3,3,4,4,2,4,4,4,4,4,3,3,1,3,44,22.0,34.0,40,43.0,183.0,3.6666666666666665,1.8333333333333333,2.8333333333333335,3.3333333333333335,3.5833333333333335,0,0,0,0,0,44.0,22.0,34.0,40.0,43.0,0,183.0
30044,3,3,1,4,5,1,4,2,3,4.0,2,5,5,5,5.0,2,4,5,3,5,1,4,4,3,5,1,2,4,2,4,2,4,5.0,4,5,1,4,2,3,4,3,1,5.0,4,3,5,5,3,5,5,5,1,4,5,3,5,1,4,5,3,5,21,46.0,47.0,43,57.0,214.0,1.75,3.8333333333333335,3.9166666666666665,3.5833333333333335,4.75,0,0,0,0,0,21.0,46.0,47.0,43.0,57.0,0,214.0
30045,3,4,3,4,4,4,4,2,3,4.0,2,3,4,4,2.0,2,4,2,4,4,3,4,2,2,4,2,4,2,2,4,2,4,2.0,4,4,4,4,2,2,4,3,2,4.0,4,4,4,4,2,4,4,4,2,4,4,2,4,4,2,4,2,4,34,43.0,35.0,37,46.0,195.0,2.8333333333333335,3.5833333333333335,2.9166666666666665,3.0833333333333335,3.8333333333333335,0,0,0,0,0,34.0,43.0,35.0,37.0,46.0,0,195.0
30046,4,3,5,4,5,3,4,2,4,1.0,2,4,5,4,4.0,4,4,4,4,4,2,3,4,2,3,4,3,3,2,2,4,2,4.0,4,3,2,3,4,4,4,3,4,2.0,4,4,2,4,1,5,4,2,3,2,5,3,5,3,2,4,4,4,39,33.0,49.0,44,39.0,204.0,3.25,2.75,4.083333333333333,3.6666666666666665,3.25,0,0,0,0,0,39.0,33.0,49.0,44.0,39.0,0,204.0
