Participant ID,1_Primals_qn0,1_Primals_qn1,1_Primals_qn2,1_Primals_qn3,1_Primals_qn4,1_Primals_qn5,2_Primals_qn6,2_Primals_qn7,2_Primals_qn8,2_Primals_qn9,2_Primals_qn10,2_Primals_qn11,3_Primals_qn12,3_Primals_qn13,3_Primals_qn14,3_Primals_qn15,3_Primals_qn16,3_Primals_qn17,3_Primals_qn18
34,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree
35,Disagree,Disagree,Slightly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Slightly agree,Strongly disagree,Disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree
36,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Slightly agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly disagree,Slightly disagree,Disagree,Slightly agree
38,Agree,Disagree,Slightly agree,Strongly disagree,Strongly disagree,Disagree,Agree,,Disagree,Disagree,Disagree,Slightly disagree,Disagree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree
39,Slightly agree,Slightly disagree,Disagree,Disagree,Strongly disagree,Slightly disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Slightly disagree,Slightly disagree,Slightly agree
40,Slightly disagree,Disagree,Disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly agree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Agree,Disagree,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Slightly disagree
43,Slightly agree,Disagree,Disagree,Slightly disagree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree
44,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Slightly agree,Slightly agree,Agree,Slightly disagree,Strongly disagree,Slightly agree
45,Agree,Slightly disagree,Agree,Slightly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Slightly agree,Slightly disagree,Agree,Agree
46,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Agree,Agree,Disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree
47,Agree,Disagree,Disagree,Disagree,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly disagree,Agree,Slightly disagree,Disagree,Disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Disagree,Slightly agree
48,Slightly agree,Disagree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Slightly agree,Agree,Disagree,Agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree
49,Disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Strongly disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Agree
50,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Disagree,Strongly agree
51,Agree,Disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Agree,Slightly agree,Slightly disagree,Agree,Slightly agree
52,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Slightly agree,Disagree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree
53,Strongly agree,Disagree,Slightly agree,Slightly agree,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Disagree,Slightly agree,Slightly disagree,Disagree,Disagree,Agree,Slightly agree,Slightly disagree,Agree,Strongly agree
54,Slightly agree,Disagree,Slightly agree,Slightly disagree,Disagree,Slightly disagree,Agree,Slightly agree,Disagree,Slightly agree,Agree,Strongly agree,Agree,Strongly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree
57,Strongly agree,Disagree,Slightly agree,Slightly disagree,Disagree,Slightly disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly agree,Slightly disagree,Slightly agree,Strongly disagree,Disagree,Slightly agree,Disagree,Slightly disagree,Agree,Strongly agree
58,Slightly disagree,Disagree,Disagree,Slightly disagree,Disagree,Disagree,Slightly agree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree
60,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly disagree,Agree,Agree,Disagree,Slightly agree,Agree,Disagree,Strongly disagree,Slightly agree,Strongly agree,Agree,Slightly disagree,Agree,Strongly agree
61,Slightly agree,Agree,Slightly agree,Disagree,Agree,Agree,Slightly agree,Agree,Slightly agree,Slightly disagree,Agree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree
62,Slightly agree,Slightly agree,Slightly disagree,Agree,Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Slightly agree,Agree,Slightly disagree,Slightly agree,Strongly agree
63,Agree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Slightly agree,Slightly disagree,Disagree,Disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Agree
64,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Slightly disagree,Slightly disagree,Slightly agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree
65,Slightly agree,Disagree,Disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Strongly disagree,Disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree
66,Agree,Slightly disagree,Disagree,Strongly disagree,Slightly disagree,Disagree,Strongly agree,Strongly agree,Slightly disagree,Slightly agree,Agree,Agree,Slightly agree,Slightly disagree,Agree,Slightly agree,Slightly disagree,Disagree,Agree
67,Slightly agree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly disagree,Agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly agree,Slightly disagree
68,Agree,Slightly agree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Agree,Disagree,Slightly agree,Agree,Agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree
69,Agree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Slightly agree,Strongly agree,Strongly disagree,Agree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Strongly agree
70,Agree,Slightly agree,Agree,Slightly agree,Slightly disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Slightly agree,Strongly disagree,Slightly disagree,Agree,Agree,Slightly agree,Slightly disagree,Agree,Strongly agree
71,Agree,Slightly agree,Slightly agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly disagree,Slightly agree,Disagree,Disagree,Agree,Agree,Agree,Slightly disagree,Slightly agree,Agree
73,Disagree,Disagree,Disagree,Slightly agree,Slightly agree,Disagree,Agree,Agree,Disagree,Slightly agree,Agree,Disagree,Slightly agree,Slightly disagree,Agree,Agree,Slightly disagree,Slightly agree,Agree
74,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly disagree,Slightly agree,Strongly agree,Strongly agree,Strongly disagree,Slightly disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Agree,Strongly agree
75,Agree,Slightly disagree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Agree,Strongly disagree,Slightly agree,Agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Agree
76,Agree,Agree,Slightly agree,Slightly agree,Disagree,Disagree,Slightly agree,Agree,Strongly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Slightly disagree,Agree
77,Agree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Slightly disagree,Disagree,Slightly agree,Slightly disagree,Slightly agree,Disagree,Agree,Agree,Slightly disagree,Slightly agree,Agree
78,Slightly agree,Disagree,Slightly disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Slightly disagree,Slightly agree,Strongly disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Strongly agree
79,Strongly agree,Agree,Slightly agree,Slightly agree,Disagree,Disagree,Agree,Agree,Disagree,Slightly disagree,Slightly disagree,Disagree,Disagree,Slightly agree,Agree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree
80,Strongly agree,Agree,Agree,Disagree,Slightly disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Slightly agree,Disagree,Disagree,Agree,Agree,Disagree,Slightly disagree,Agree,Strongly agree
81,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree
82,Slightly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly agree
83,Agree,Slightly disagree,Agree,Slightly agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly disagree,Agree,Strongly agree
84,Slightly disagree,Slightly agree,Strongly disagree,Slightly disagree,Slightly disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Slightly agree,Slightly disagree,Disagree,Disagree,Slightly agree,Slightly disagree,Disagree,Disagree
85,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Agree,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree
86,Strongly agree,Slightly agree,Agree,Slightly agree,Disagree,Disagree,Strongly agree,Agree,Disagree,Slightly disagree,Strongly disagree,Disagree,Strongly disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Agree,Agree
87,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Disagree,Agree,Slightly agree,Strongly disagree,Disagree,Slightly disagree,Slightly disagree,Disagree,Slightly disagree,Strongly agree,Strongly agree,Slightly disagree,Strongly agree,Strongly agree
88,Slightly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Slightly agree,Agree,Disagree,Strongly disagree,Slightly disagree,Disagree,Slightly disagree,Agree,Agree
89,Slightly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Slightly agree,Agree,Strongly agree,Agree,Strongly disagree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly disagree,Slightly disagree
90,Slightly agree,Slightly disagree,Disagree,Slightly disagree,Disagree,Disagree,Agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree
91,Slightly agree,Disagree,Agree,Slightly agree,Slightly agree,Disagree,Agree,Agree,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Strongly disagree,Slightly agree,Disagree,Slightly disagree,Agree,Agree
92,Slightly agree,Disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Strongly agree,Agree,Disagree,Slightly agree,Slightly agree,Agree,Agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Agree
93,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree
94,Strongly agree,Disagree,Slightly disagree,Disagree,Slightly disagree,Disagree,Strongly agree,Agree,Strongly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Strongly agree
95,Agree,Strongly disagree,Slightly agree,Strongly disagree,Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Disagree,Slightly disagree,Strongly agree,Strongly disagree,Strongly disagree,Slightly agree,Strongly disagree,Slightly disagree,Agree,Agree
96,Disagree,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Agree,Strongly disagree,Slightly agree,Slightly disagree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Slightly disagree,Slightly disagree,Strongly disagree,Agree
100,Strongly agree,Strongly agree,Slightly disagree,Slightly agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Slightly disagree,Disagree,Strongly disagree,Slightly disagree,Slightly disagree,Agree,Strongly agree,Slightly disagree,Slightly disagree,Strongly agree
101,Slightly agree,Disagree,Slightly agree,Strongly disagree,Slightly disagree,Disagree,Strongly agree,Agree,Disagree,Slightly agree,Agree,Slightly disagree,Slightly disagree,Strongly disagree,Slightly agree,Strongly disagree,Slightly disagree,Slightly disagree,Slightly agree
102,Slightly agree,Disagree,Slightly agree,Disagree,Disagree,Agree,Slightly agree,Agree,Disagree,Slightly agree,Slightly agree,Agree,Slightly agree,Strongly disagree,Slightly agree,Disagree,Slightly disagree,Agree,Agree
103,Slightly disagree,Slightly disagree,Disagree,Slightly disagree,Slightly disagree,Disagree,Agree,Agree,Strongly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Agree,Slightly agree
104,Slightly disagree,Slightly agree,Disagree,Agree,Slightly agree,Slightly agree,Agree,Agree,Disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,Agree,Strongly agree,Slightly disagree,Slightly agree,Slightly agree
105,Slightly agree,Slightly agree,Slightly disagree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Agree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree
106,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Agree,Agree,Slightly disagree,Agree,Strongly agree
107,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Disagree,Disagree,Agree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree
108,Strongly agree,Slightly disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Slightly agree,Strongly agree,Slightly disagree,Strongly disagree,Agree,Disagree,Slightly disagree,Strongly agree,Strongly agree
110,Agree,Slightly agree,Disagree,Strongly agree,Slightly agree,Slightly disagree,Agree,Strongly agree,Strongly disagree,Slightly agree,Slightly agree,Strongly disagree,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly disagree,Strongly agree
111,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Strongly disagree,Strongly agree
112,Strongly agree,Slightly agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Slightly agree,Agree,Strongly disagree,Disagree,Slightly agree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly agree
113,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Disagree,Slightly agree,Slightly agree,Agree,Agree,Slightly disagree,Slightly agree,Slightly agree
114,Agree,Agree,Slightly agree,Slightly agree,Agree,Slightly disagree,Agree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Slightly disagree,Agree,Strongly agree
115,Agree,Strongly disagree,Slightly disagree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Slightly agree,Slightly agree,Strongly disagree,Agree,Strongly disagree,Slightly disagree,Slightly agree,Strongly agree
116,Strongly agree,Slightly agree,Slightly agree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Slightly disagree,Agree,Agree
117,Strongly agree,Agree,Agree,Slightly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly agree,Slightly disagree,Slightly disagree,Agree,Strongly agree
118,Slightly agree,Slightly agree,Disagree,Slightly agree,Disagree,Disagree,Strongly agree,Agree,Disagree,Slightly agree,Slightly agree,Disagree,Agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree
119,Agree,Agree,Slightly disagree,Agree,Slightly agree,Slightly disagree,Agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Agree,Slightly disagree,Slightly disagree,Slightly agree
120,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Slightly agree,Disagree,Agree,Agree,Agree,Strongly agree,Slightly disagree,Strongly agree,Strongly agree
121,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree
