Participant ID,1_PANAS_qn0,1_PANAS_qn1,1_PANAS_qn2,1_PANAS_qn3,1_PANAS_qn4,1_PANAS_qn5,1_PANAS_qn6,1_PANAS_qn7,1_PANAS_qn8,1_PANAS_qn9,2_PANAS_qn10,2_PANAS_qn11,2_PANAS_qn12,2_PANAS_qn13,2_PANAS_qn14,2_PANAS_qn15,2_PANAS_qn16,2_PANAS_qn17,2_PANAS_qn18,2_PANAS_qn19,2_PANAS_qn20
11,Moderately (3),A little (2),Moderately (3),Extremely (5),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Quite a bit (4),Moderately (3),Moderately (3),Quite a bit (4),Quite a bit (4),A little (2),Moderately (3),Quite a bit (4),A little (2),Very slightly or not at all (1) 
12,A little (2),Quite a bit (4),A little (2),Extremely (5),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Quite a bit (4),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) 
13,Moderately (3),A little (2),A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Moderately (3),Quite a bit (4),Quite a bit (4),A little (2),A little (2)
14,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),Moderately (3),A little (2),A little (2),Moderately (3),A little (2),A little (2),A little (2),Moderately (3),Moderately (3),A little (2),A little (2),Moderately (3),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3)
15,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
16,Moderately (3),Moderately (3),Moderately (3),Extremely (5),Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Moderately (3),Extremely (5),Extremely (5),Moderately (3),Moderately (3),A little (2)
17,A little (2),Quite a bit (4),A little (2),Extremely (5),A little (2),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Moderately (3),,A little (2),Quite a bit (4),A little (2),Quite a bit (4),A little (2),Quite a bit (4),A little (2),Moderately (3),Quite a bit (4),A little (2),Quite a bit (4)
18,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),A little (2),Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
19,Quite a bit (4),A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) 
20,Quite a bit (4),Moderately (3),A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Extremely (5),A little (2),Moderately (3),A little (2),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Moderately (3)
21,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) 
22,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
23,Quite a bit (4),A little (2),A little (2),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) 
24,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),Quite a bit (4),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
25,Extremely (5),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),A little (2),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
26,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),A little (2),Moderately (3),Moderately (3),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Quite a bit (4),A little (2),A little (2)
27,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Quite a bit (4),A little (2),Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2)
28,Quite a bit (4),Moderately (3),Moderately (3),Extremely (5),Quite a bit (4),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Moderately (3),A little (2),A little (2),Moderately (3),A little (2),Extremely (5),A little (2),A little (2),A little (2),A little (2)
29,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
31,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Quite a bit (4),Moderately (3),Quite a bit (4),Quite a bit (4),Extremely (5),Quite a bit (4),Moderately (3),Quite a bit (4),Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2)
32,A little (2),Moderately (3),Quite a bit (4),Extremely (5),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) 
33,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),,Extremely (5),Extremely (5),Very slightly or not at all (1) 
34,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) 
35,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),A little (2),Extremely (5),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
36,Moderately (3),A little (2),A little (2),Extremely (5),A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),Quite a bit (4),A little (2),Moderately (3),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3)
38,Quite a bit (4),Moderately (3),Moderately (3),Extremely (5),A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Moderately (3),Moderately (3),A little (2),Quite a bit (4),A little (2)
39,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
40,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Moderately (3),A little (2),A little (2),A little (2),A little (2),Quite a bit (4),A little (2),Moderately (3),A little (2)
43,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
44,Extremely (5),Very slightly or not at all (1) ,A little (2),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
45,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
46,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
47,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Moderately (3),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2)
48,Moderately (3),A little (2),A little (2),Extremely (5),A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Quite a bit (4),A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),Moderately (3),Moderately (3),Moderately (3),Very slightly or not at all (1) 
49,Moderately (3),A little (2),Moderately (3),Extremely (5),Moderately (3),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),Moderately (3),Quite a bit (4),Moderately (3),Quite a bit (4),Moderately (3),Quite a bit (4),A little (2),Moderately (3),Moderately (3)
50,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),A little (2),Extremely (5),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
51,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
52,A little (2),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2)
53,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
54,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) 
57,Extremely (5),Very slightly or not at all (1) ,A little (2),Extremely (5),A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
58,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
60,Moderately (3),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Moderately (3),Extremely (5),A little (2),Extremely (5),Quite a bit (4),Extremely (5),Quite a bit (4),Quite a bit (4),Moderately (3),A little (2)
61,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
62,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
63,Moderately (3),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
64,A little (2),Moderately (3),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
65,A little (2),A little (2),Very slightly or not at all (1) ,Extremely (5),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2)
66,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),A little (2),Moderately (3),Quite a bit (4),A little (2),A little (2),Quite a bit (4),A little (2),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,A little (2),A little (2),Quite a bit (4),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) 
67,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Moderately (3),A little (2),Moderately (3),A little (2)
68,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),A little (2),Quite a bit (4),A little (2),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) 
69,Quite a bit (4),A little (2),Extremely (5),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
70,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),A little (2),Moderately (3),A little (2),Moderately (3),A little (2),Moderately (3),Moderately (3),Moderately (3),Quite a bit (4),Very slightly or not at all (1) 
71,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),A little (2),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
73,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),A little (2),Quite a bit (4),Quite a bit (4),A little (2),Moderately (3),Very slightly or not at all (1) 
74,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Moderately (3)
75,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
76,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),A little (2),Moderately (3),A little (2),Moderately (3),A little (2),A little (2),Quite a bit (4),A little (2),Quite a bit (4),A little (2),Moderately (3),Moderately (3),A little (2),Moderately (3),A little (2)
77,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Quite a bit (4),A little (2),Moderately (3),Moderately (3),A little (2),Moderately (3),Quite a bit (4),Quite a bit (4),Moderately (3),Moderately (3),Moderately (3),Moderately (3)
78,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
79,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),A little (2),Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),A little (2),Quite a bit (4),A little (2),Quite a bit (4),Quite a bit (4),A little (2),Moderately (3),A little (2)
